sku,name,_store,_product_websites,_attribute_set,_type,description,color,manufacturer,material_handbag,material_shoes,price,qty,status,shirt_size,shoes_size,short_description,image,small_image,thumbnail,tax_class_id,clothing_size,weight,material,category_ids,visibility,is_in_stock,dimension,skirt_type,gender,shoe_type,root_category,country_of_manufacture,dress_type,gallery,instruction,in_depth,media_gallery,model,size_handbag,small_image_label
S48AO0114311012R1003,Áo len sọc dài tay 1,admin,base,Ao,simple,"- Áo len rộng, form dài, chất len dày, nó làm vừa lòng mọi vóc dáng, từ cao – thấp, béo – gầy. Ngoài ra, những chiếc áo len này còn là một trong những bí quyết ăn gian tuổi rất tốt vì nó sẽ giúp bạn trẻ trung, xinh xắn hơn rất nhiều.
- Với phong cách đườ",Đỏ đô,Lfemme Boutique,,,300000,99,1,,,None,/l_femme_boutique/dn_013_007_3.jpg,/l_femme_boutique/dn_013_007_3__2_.jpg,/l_femme_boutique/dn_013_007_3__3_.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1004,Áo len sọc dài tay 2,admin,base,Ao,simple,"- Áo len rộng, form dài, chất len dày, nó làm vừa lòng mọi vóc dáng, từ cao – thấp, béo – gầy. Ngoài ra, những chiếc áo len này còn là một trong những bí quyết ăn gian tuổi rất tốt vì nó sẽ giúp bạn trẻ trung, xinh xắn hơn rất nhiều.
- Với phong cách đườ",Đen,Lfemme Boutique,,,300000,99,1,,,None,/l_femme_boutique/dn_013_007_3.jpg,/l_femme_boutique/dn_013_007_3__2_.jpg,/l_femme_boutique/dn_013_007_3__3_.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1005,Áo len sọc dài tay 3,admin,base,Ao,simple,"- Áo len rộng, form dài, chất len dày, nó làm vừa lòng mọi vóc dáng, từ cao – thấp, béo – gầy. Ngoài ra, những chiếc áo len này còn là một trong những bí quyết ăn gian tuổi rất tốt vì nó sẽ giúp bạn trẻ trung, xinh xắn hơn rất nhiều.
- Với phong cách đườ",Xanh ngọc,Lfemme Boutique,,,300000,99,1,,,None,/l_femme_boutique/dn_013_007_3.jpg,/l_femme_boutique/dn_013_007_3__2_.jpg,/l_femme_boutique/dn_013_007_3__3_.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1006,Áo len sọc dài tay 4,admin,base,Ao,simple,"- Áo len rộng, form dài, chất len dày, nó làm vừa lòng mọi vóc dáng, từ cao – thấp, béo – gầy. Ngoài ra, những chiếc áo len này còn là một trong những bí quyết ăn gian tuổi rất tốt vì nó sẽ giúp bạn trẻ trung, xinh xắn hơn rất nhiều.
- Với phong cách đườ",Xanh đen,Lfemme Boutique,,,300000,99,1,,,None,/l_femme_boutique/dn_013_007_3.jpg,/l_femme_boutique/dn_013_007_3__2_.jpg,/l_femme_boutique/dn_013_007_3__3_.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1007,Áo len kẻ ngang 1,admin,base,Ao,simple,"-  Chất len Áo cực mịn, form chuẩn.
- Những biến tấu tuyệt đẹp, đa phong cách từ trang phục kẻ sọc ngang trẻ trung, năng động sẽ là gợi ý hoàn hảo cho các quý cô trong mùa mới.",Cam,Lfemme Boutique,,,280000,99,1,,,None,/l_femme_boutique/dn_013_008_2.jpg,/l_femme_boutique/dn_013_008_2__2_.jpg,/l_femme_boutique/dn_013_008_2.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S48AO0114311012R1008,Áo len kẻ ngang 2,admin,base,Ao,simple,"-  Chất len Áo cực mịn, form chuẩn.
- Những biến tấu tuyệt đẹp, đa phong cách từ trang phục kẻ sọc ngang trẻ trung, năng động sẽ là gợi ý hoàn hảo cho các quý cô trong mùa mới.",Đen,Lfemme Boutique,,,280000,99,1,,,None,/l_femme_boutique/dn_013_008_2.jpg,/l_femme_boutique/dn_013_008_2__2_.jpg,/l_femme_boutique/dn_013_008_2.jpg,0,FREE,0,Len,36.49,4,1,,,,,muafast,,,,,,inner,,,
S47AO0126311012R1000,The blazer,admin,base,Ao,simple,"- Chiếc blazer truyền không chỉ là một trang phục mà mọi cô gái đường phố ưa Thích mà chính Những thiết kế thanh lịch, năng động của chúng cũng chinh phục Những cô nàng công sở.
- Mix Chiếc blazer này cùng jeans, đầm, hay short sẽ là sự lựa chọn tối ưu.",Đỏ,Real Clothes,,,495000,99,1,,,None,/real_clothes/dn_014_004_1.jpg,/real_clothes/dn_014_004_1.jpg,/real_clothes/dn_014_004_1.jpg,0,M,0,Kaki,36.41,4,1,,,,,muafast,,,,,,inner,,,
S47AO0126311012R1001,The blazer,admin,base,Ao,simple,"- Chiếc blazer truyền không chỉ là một trang phục mà mọi cô gái đường phố ưa Thích mà chính Những thiết kế thanh lịch, năng động của chúng cũng chinh phục Những cô nàng công sở.
- Mix Chiếc blazer này cùng jeans, đầm, hay short sẽ là sự lựa chọn tối ưu.",Trắng,Real Clothes,,,495000,99,1,,,None,/real_clothes/dn_014_009_1.jpg,,/real_clothes/dn_014_009_1.jpg,0,M,0,Kaki,36.41,4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1000,Áo khoác da AKD-37,admin,base,Ao,simple,"Kiểu dáng giả sơ mi có hàng nút bấm, kiểu dáng sành điệu.
Chất liệu simili cao cấp,  với thiết kế đa năng, có thể sử dụng như áo khoác hay như áo sơ mi cũng được.
Phối hợp với áo thun trắng trơn bên trong, cài hở bút, tạo một vẻ nam tính và rất ngầu.",Đen,Kenfashion,,,400000,99,1,,,None,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_2.jpg,0,M,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1001,Áo khoác da AKD-37,admin,base,Ao,simple,"Kiểu dáng giả sơ mi có hàng nút bấm, kiểu dáng sành điệu.
Chất liệu simili cao cấp,  với thiết kế đa năng, có thể sử dụng như áo khoác hay như áo sơ mi cũng được.
Phối hợp với áo thun trắng trơn bên trong, cài hở bút, tạo một vẻ nam tính và rất ngầu.",Đen,Kenfashion,,,400000,99,1,,,None,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_2.jpg,0,L,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1002,Áo khoác da AKD-37,admin,base,Ao,simple,"Kiểu dáng giả sơ mi có hàng nút bấm, kiểu dáng sành điệu.
Chất liệu simili cao cấp,  với thiết kế đa năng, có thể sử dụng như áo khoác hay như áo sơ mi cũng được.
Phối hợp với áo thun trắng trơn bên trong, cài hở bút, tạo một vẻ nam tính và rất ngầu.",Đen,Kenfashion,,,400000,99,1,,,None,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_1.jpg,/kenfashion/vt_006_001_2.jpg,0,XL,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1003,Áo khoác da AKD-36,admin,base,Ao,simple,"Áo khoác da phối lông bên trong rất khác biệt, kiểu dáng thanh lịch, sang trọng nhưng không kém phần cá tích và sành điệu.
Áo có phối lông bên trong, khá phù hợp với những ngày se lạnh cuối thu.",Đen,Kenfashion,,,450000,99,1,,,None,/kenfashion/vt_006_002_1.jpg,/kenfashion/vt_006_002_2.jpg,/kenfashion/vt_006_002_2.jpg,0,M,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1004,Áo khoác da AKD-36,admin,base,Ao,simple,"Áo khoác da phối lông bên trong rất khác biệt, kiểu dáng thanh lịch, sang trọng nhưng không kém phần cá tích và sành điệu.
Áo có phối lông bên trong, khá phù hợp với những ngày se lạnh cuối thu.",Đen,Kenfashion,,,450000,99,1,,,None,/kenfashion/vt_006_002_1.jpg,/kenfashion/vt_006_002_2.jpg,/kenfashion/vt_006_002_2.jpg,0,L,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1005,Áo khoác da AKD-36,admin,base,Ao,simple,"Áo khoác da phối lông bên trong rất khác biệt, kiểu dáng thanh lịch, sang trọng nhưng không kém phần cá tích và sành điệu.
Áo có phối lông bên trong, khá phù hợp với những ngày se lạnh cuối thu.",Đen,Kenfashion,,,450000,99,1,,,None,/kenfashion/vt_006_002_1.jpg,/kenfashion/vt_006_002_2.jpg,/kenfashion/vt_006_002_2.jpg,0,XL,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1006,Áo khoác da AKD-35,admin,base,Ao,simple,"Kiểu dáng ôm, có 4 túi, tay có dây kéo, thiết kế nhẹ nhàng, đơn giản.
Áo thiết kế không dày lắm, đơn giản, phù hợp với mặc hàng ngày đi dạo phố.",Đen,Kenfashion,,,400000,99,1,,,None,/kenfashion/vt_006_003_1.jpg,/kenfashion/vt_006_003_1.jpg,/kenfashion/vt_006_003_2.jpg,0,M,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
S38AO0105311012R1007,Áo khoác da AKD-35,admin,base,Ao,simple,"Kiểu dáng ôm, có 4 túi, tay có dây kéo, thiết kế nhẹ nhàng, đơn giản.
Áo thiết kế không dày lắm, đơn giản, phù hợp với mặc hàng ngày đi dạo phố.",Đen,Kenfashion,,,400000,99,1,,,None,/kenfashion/vt_006_003_1.jpg,/kenfashion/vt_006_003_1.jpg,/kenfashion/vt_006_003_2.jpg,0,L,0,Simili,"3,37,42",4,1,,,,,muafast,,,,,,inner,,,
